description,category
breakfast - paratha and chai,food
maintenance charges for flat,bills
Dominos - dinner at Dominos with friends,food
monthly groceries from Nature's Basket got it during sale,groceries
Croma purchase - bluetooth headphone got it during sale - Rs 299,electronics
monthly groceries from DMart,groceries
college fee payment,education
bus ticket to city ordered online,travel
engine oil change at Car Service Center purchased from nearby store,auto
bank transfer to friend,finance
anti ageing serum purchase,personal_care
pharmacy - antibiotics - Rs 999,health
IRCTC ride to airport,travel
perfume Beauty Store,personal_care
new backpack from Myntra paid for,shopping
monthly groceries from Grofers ordered online,groceries
Mi Store - USB-C cable ordered online - Rs 999,electronics
Local Pharmacy,personal_care
Steam - game purchase on Steam,entertainment
took ola share - train booking via IRCTC bought for home use,travel
Stationery Shop - stationery purchase at Stationery Shop,education
Myntra online - summer dress paid for,shopping
wallet topup NEFT got it during sale,finance
BookMyShow - BookMyShow movie ticket,entertainment
dinner at Food Stall with friends purchased from nearby store,food
exam form fee bought because needed,education
pharmacy,health
Car Service Center,auto
bank transfer to friend,finance
Nykaa - anti ageing serum purchase,personal_care
gift box chocolates bought for home use,gifts
bus ticket to city got it during sale,travel
college fee payment,education
Car Service Center,auto
engine oil change at Bikeman Garage,auto
NEFT received,finance
game purchase on Play Store purchased from nearby store,entertainment
Lifestyle,shopping
Reliance Digital purchase,electronics
"bread, butter, cereal from Spencer's bought for home use",groceries
bus ticket to city,travel
HP Petrolpump,auto
renewed subscription - Spotify,subscription
bought T,shopping
train booking via IRCTC,travel
exam form fee bought because needed,education
home decor items bought for home use,home
Amazon - tempered glass screen protector purchased from nearby store - Rs 249,electronics
McDonald's - dinner at McDonald's with friends,food
stationery purchase at Stationery Shop,education
Croma - ordered power bank from Croma,electronics
kitchen utensils from Home Centre,home
exam form fee,education
Lifestyle,shopping
Netflix annual plan bought for home use,subscription
IRCTC ride to airport,travel
bread,groceries
invoice paid,salary
water bill payment,utilities
bus ticket to city,travel
recharge jio - water bill payment ordered online,utilities
game purchase on Steam - Rs 999,entertainment
pharmacy - antibiotics,health
Amazon - USB-C cable,electronics
Home Centre - home decor items,home
bike service at Car Service Center,auto
loan EMI deduction - Rs 499,bills
bus ticket to city,travel
fruits and veg purchase at Local Kirana,groceries
City Hospital - paracetamol and vitamins purchased from nearby store,health
breakfast,food
maintenance charges for flat,bills
Maintenance - maintenance charges for flat - Rs 999,bills
new bedsheet purchase from Ikea,home
Steam movie ticket,entertainment
late fee payment bought because needed,bills
Jio electricity bill ordered online,utilities
Bank Transfer - NEFT received,finance
loan EMI deduction,bills
Jio electricity bill,utilities
college fee payment paid for - Rs 999,education
"Grofers - milk, eggs, vegetables got it during sale",groceries
flight ticket to delhi,travel
concert ticket booking bought for home use,entertainment
credit card repayment - Rs 100,bills
dinner at McDonald's with friends paid for - Rs 499,food
Netflix - Netflix monthly subscription,subscription
Paytm Wallet - upi payment,finance
Car Service Center - engine oil change at Car Service Center,auto
"bread, butter, cereal from Nature's Basket bought because needed",groceries
Ola - bus ticket to city,travel
DMart - monthly groceries from DMart,groceries
doctor consult - fever,health
game purchase on BookMyShow,entertainment
Croma - tempered glass screen protector,electronics
engine oil change at Car Service Center ordered online,auto
maintenance charges for flat,bills
Play Store - Play Store movie ticket - Rs 100,entertainment
Local Home Store - floor cleaner and mop,home
bus ticket to city,travel
gave tip to bhaiya - late fee payment bought for home use,bills
bought T-shirt from Lifestyle - Rs 150,shopping
emi deducted - fruits and veg purchase at Nature's Basket got it during sale,groceries
ordered power bank from Flipkart,electronics
Reliance Fresh,groceries
bike service at HP Petrolpump paid for,auto
PVR movie ticket paid for,entertainment
Flower Store - gift box chocolates - Rs 150,gifts
ott subscription rental,entertainment
Amazon Prime monthly subscription,subscription
bank transfer to friend,finance
lab test at City Hospital got it during sale,health
Credit Card Payment - loan EMI deduction - Rs 50,bills
Local Pharmacy - sunscreen spf 50 got it during sale,personal_care
apartment rent monthly bought for home use,rent
Maintenance - loan EMI deduction - Rs 299,bills
HP Petrolpump - car wash and cleaning - Rs 249,auto
Jio - mobile postpaid bill Jio - Rs 50,utilities
loan EMI deduction - Rs 1200,bills
Netflix monthly subscription,subscription
MakeMyTrip ride to airport,travel
credit card repayment bought because needed,bills
TataCliq - ordered power bank from TataCliq,electronics
anti ageing serum purchase purchased from nearby store,personal_care
bhai petrol bharwaya - Croma purchase - bluetooth headphone paid for,electronics
exam form fee bought because needed,education
HP Petrolpump,auto
Amazon - Rs 499,electronics
monthly groceries from DMart purchased from nearby store,groceries
anti ageing serum purchase purchased from nearby store - Rs 499,personal_care
Myntra - sneakers purchase got it during sale,shopping
bike service at Bikeman Garage,auto
Healthcare Clinic - paracetamol and vitamins paid for,health
wallet topup PhonePe,finance
membership renewal YouTube Premium paid for,subscription
car wash and cleaning,auto
Gift Shop - gift box chocolates,gifts
Healthcare Clinic,health
Home Centre,home
Netflix - membership renewal Netflix,subscription
home decor items,home
anniversary gift shopping got it during sale,gifts
water bill payment purchased from nearby store,utilities
engine oil change at Car Service Center paid for - Rs 999,auto
upi payment purchased from nearby store,finance
Jio - internet recharge via Jio,utilities
Loan EMI - late fee payment,bills
Jio electricity bill - Rs 499,utilities
Godrej Gift - bought flowers from Godrej Gift,gifts
new backpack from Myntra,shopping
Play Store - Play Store movie ticket - Rs 100,entertainment
House Rent - house rent for september,rent
bike service at Shell Fuel,auto
birthday gift for friend,gifts
bus ticket to city bought for home use,travel
ordered power bank from Mi Store ordered online - Rs 499,electronics
"Grofers - milk, eggs, vegetables",groceries
Beauty Store - Rs 199,personal_care
credit card repayment bought because needed,bills
pharmacy - antibiotics - Rs 50,health
bank transfer to friend bought because needed,finance
mumma grocery - Croma,electronics
Electricity Board electricity bill,utilities
anniversary gift shopping bought because needed - Rs 100,gifts
upi payment,finance
exam form fee,education
"bread, butter, cereal from Grofers",groceries
pharmacy,health
birthday gift for friend,gifts
train booking via IRCTC,travel
birthday gift for friend,gifts
game purchase on Steam got it during sale,entertainment
Nature's Basket - fruits and veg purchase at Nature's Basket,groceries
Netflix monthly subscription ordered online,subscription
home decor items,home
Sephora - sunscreen spf 50 paid for,personal_care
bonus credited,salary
recharge jio - security deposit for rent bought because needed,rent
Mi Store - ordered power bank from Mi Store,electronics
home decor items - Rs 100,home
ott subscription rental,entertainment
college fee payment,education
internet recharge via Jio - Rs 249,utilities
bank transfer to friend bought because needed,finance
invoice paid,salary
Bank Transfer - NEFT received,finance
Flipkart purchase,electronics
Local Mall online,shopping
bought T-shirt from Myntra,shopping
refund from amazon - PVR movie ticket,entertainment
Croma - USB-C cable paid for,electronics
doctor consult,health
perfume Beauty Store,personal_care
Credit Card Payment - late fee payment,bills
Croma,electronics
renewed subscription,subscription
birthday gift for friend,gifts
doctor consult - fever ordered online,health
face wash and moisturizer from Sephora,personal_care
concert ticket booking paid for,entertainment
flight ticket to delhi ordered online,travel
Amazon Prime annual plan,subscription
concert ticket booking purchased from nearby store - Rs 100,entertainment
Pizza Hut - dinner at Pizza Hut with friends,food
perfume Beauty Store,personal_care
credit card repayment,bills
new bedsheet purchase from Local Home Store,home
exam form fee bought because needed,education
H&M online,shopping
fruits and veg purchase at DMart,groceries
concert ticket booking,entertainment
kitchen utensils from Home Centre - Rs 199,home
MedPlus - lab test at MedPlus - Rs 1200,health
anniversary gift shopping,gifts
"DMart - milk, eggs, vegetables",groceries
H&M - sneakers purchase,shopping
engine oil change at Shell Fuel,auto
home decor items paid for,home
paid bhaiya for delivery - Local Pharmacy - Rs 199,personal_care
BookMyShow - concert ticket booking - Rs 50,entertainment
City Hospital - lab test at City Hospital,health
Jio - Jio electricity bill,utilities
loan EMI deduction,bills
house rent for september,rent
renewed subscription,subscription
"Nature's Basket - milk, eggs, vegetables",groceries
ordered power bank from Amazon ordered online,electronics
bus tkt to city,travel
Jio - Jio electricity bill - Rs 100,utilities
kitchen utensils from Local Home Store,home
train booking via IRCTC,travel
ordered power bank from Flipkart purchased from nearby store,electronics
Healthcare Clinic,health
face wash and moisturizer from Sephora paid for,personal_care
Ajio,shopping
Stationery Shop - stationery purchase at Stationery Shop,education
Mi Store purchase - bluetooth headphone ordered online,electronics
train booking via IRCTC,travel
Amazon Prime annual plan ordered online,subscription
bank transfer to friend ordered online,finance
pharmacy - antibiotics bought for home use,health
Play Store - concert ticket booking,entertainment
renewed subscription - Amazon Prime bought because needed,subscription
freelance payment client xyz ordered online,salary
Samsung Shop - USB-C cable paid for,electronics
lab test at MedPlus purchased from nearby store,health
bank transfer to friend,finance
new bedsheet purchase from Ikea,home
apartment rent monthly ordered online,rent
college canteen maggi - Local Home Store - home decor items,home
Reliance Digital purchase - bluetooth headphone paid for,electronics
perfume Local Pharmacy,personal_care
Reliance Fresh - monthly groceries from Reliance Fresh,groceries
Udemy,education
Nykaa - perfume Nykaa,personal_care
Credit Card Payment - loan EMI deduction,bills
security deposit for rent got it during sale - Rs 299,rent
concert ticket booking purchased from nearby store,entertainment
Spencer's,groceries
wallet topup Paytm Wallet - Rs 100,finance
anniversary gift shopping,gifts
Godrej Gift - birthday gift for friend,gifts
dinner at Zomato with friends,food
ordered power bank from Reliance Digital bought for home use,electronics
Coursera - exam form fee,education
City Hospital,health
"Reliance Fresh - bread, butter, cereal from Reliance Fresh",groceries
"Grofers - milk, eggs, vegetables",groceries
Jio electricity bill,utilities
Stationery Shop,education
Local Home Store - new bedsheet purchase from Local Home Store,home
upi payment - Rs 299,finance
Reliance Fresh - monthly groceries from Reliance Fresh,groceries
concert ticket booking,entertainment
renewed subscription - YouTube Premium,subscription
monthly groceries from Reliance Fresh,groceries
college fee payment ordered online,education
loan EMI deduction,bills
Croma purchase - bluetooth headphone bought for home use,electronics
anti ageing serum purchase bought because needed,personal_care
anniversary gift shopping paid for,gifts
stationery purchase at Stationery Shop,education
Bikeman Garage - bike service at Bikeman Garage - Rs 50,auto
anti ageing serum purchase,personal_care
pharmacy,health
membership renewal YouTube Premium,subscription
bread,groceries
kitchen utensils from Home Centre,home
recharge jio - wallet topup Paytm Wallet bought because needed,finance
Paytm Wallet - NEFT received,finance
Apollo Pharmacy - paracetamol and vitamins paid for,health
Home Centre - kitchen utensils from Home Centre,home
maintenance charges for flat,bills
Myntra - sneakers purchase,shopping
car wash and cleaning,auto
Udemy - exam form fee,education
late fee payment,bills
game purchase on Steam bought because needed,entertainment
Udemy - stationery purchase at Udemy,education
bhai petrol bharwaya - Shell Fuel - engine oil change at Shell Fuel,auto
Electricity Board - mobile postpaid bill Electricity Board - Rs 100,utilities
concert ticket booking,entertainment
water bill payment bought for home use,utilities
new bedsheet purchase from Local Home Store bought because needed - Rs 199,home
Reliance Digital - USB-C cable bought for home use - Rs 1200,electronics
BookMyShow - concert ticket booking,entertainment
doctor consult,health
bread,groceries
Spotify - Spotify annual plan,subscription
maintenance charges for flat bought because needed,bills
rent payment to landlord got it during sale,rent
engine oil change at Car Service Center purchased from nearby store,auto
TataCliq - USB-C cable paid for,electronics
Home Centre - floor cleaner and mop bought because needed,home
NEFT received,finance
Freelance Payment - freelance payment client xyz - Rs 499,salary
NEFT received paid for,finance
"Nature's Basket - milk, eggs, vegetables",groceries
house rent for september,rent
Maintenance - credit card repayment,bills
H&M - new backpack from H&M,shopping
train booking via IRCTC bought for home use,travel
gift box chocolates,gifts
train booking via IRCTC,travel
PhonePe - bank transfer to friend,finance
fruits and veg purchase at Big Bazaar bought because needed,groceries
mobile postpaid bill Water Supply - Rs 199,utilities
game purchase on BookMyShow,entertainment
beauty store - sunscrean spf 50,personal_care
house rent for september ordered online,rent
Sephora - Rs 150,personal_care
Spotify - membership renewal Spotify,subscription
Bikeman Garage - petrol full tank,auto
late night snack from Cafe Coffee Day purchased from nearby store,food
Coursera - stationery purchase at Coursera,education
home decor items bought for home use,home
maintenance charges for flat purchased from nearby store,bills
doctor consult - fever,health
NEFT - upi payment,finance
NEFT received,finance
engine oil change at Shell Fuel purchased from nearby store,auto
bus ticket to city got it during sale,travel
dinner at Cafe Coffee Day with friends bought for home use,food
Grofers,groceries
BookMyShow - BookMyShow movie ticket,entertainment
apartment rent monthly - Rs 1200,rent
anniversary gift shopping,gifts
internet recharge via Electricity Board bought because needed - Rs 199,utilities
train booking via IRCTC purchased from nearby store,travel
pharmacy - antibiotics,health
bought flowers from Gift Shop,gifts
home decor items,home
Amazon Prime - Amazon Prime monthly subscription,subscription
internet recharge via BSNL,utilities
anti ageing serum purchase,personal_care
flight ticket to delhi paid for,travel
Reliance Fresh - monthly groceries from Reliance Fresh,groceries
Samsung Shop purchase - bluetooth headphone got it during sale,electronics
late night snack from KFC - Rs 249,food
stationery purchase at Stationery Shop,education
pharmacy,health
bus tickt to city bought because needed,travel
late fee payment,bills
Shell Fuel,auto
water bill payment,utilities
upi payment paid for,finance
membership renewal YouTube Premium,subscription
perfume Local Pharmacy,personal_care
flight ticket to delhi,travel
NEFT received,finance
Electricity Board - mobile postpaid bill Electricity Board - Rs 999,utilities
MedPlus - paracetamol and vitamins paid for - Rs 1200,health
college fee payment,education
YouTube Premium - YouTube Premium annual plan,subscription
Maintenance - late fee payment,bills
wallet topup Bank Transfer bought because needed - Rs 150,finance
college canteen maggi - Beauty Store - anti ageing serum purchase,personal_care
Uber - train booking via IRCTC,travel
Amazon Prime monthly subscription,subscription
BSNL electricity bill,utilities
Sephora - anti ageing serum purchase,personal_care
college canteen maggi - HP Petrolpump - petrol full tank,auto
new bedsheet purchase from Ikea,home
anniversary gift shopping,gifts
engine oil change at HP Petrolpump got it during sale,auto
gave tip to bhaiya - Cleartrip - bus ticket to city,travel
ordered power bank from Amazon ordered online,electronics
wallet topup Bank Transfer,finance
birthday gift for friend,gifts
ott subscription rental,entertainment
monthly groceries from Big Bazaar,groceries
stationery purchase at Udemy,education
membership renewal YouTube Premium,subscription
pharmacy - antibiotics bought because needed,health
anniversary gift shopping bought for home use,gifts
college fee payment,education
fruits and veg purchase at Big Bazaar,groceries
pharmacy - antibiotics got it during sale,health
stationery purchase at College Fee,education
bought flowers from Gift Shop - Rs 249,gifts
Loan EMI - loan EMI deduction,bills
MedPlus - paracetamol and vitamins,health
car wash and cleaning,auto
Reliance Digital purchase,electronics
face wash and moisturizer from Nykaa,personal_care
exam form fee ordered online,education
game purchase on Steam paid for,entertainment
NEFT received,finance
ordered power bank from Amazon,electronics
NEFT received bought because needed - Rs 999,finance
House Rent - apartment rent monthly,rent
Cleartrip - train booking via IRCTC,travel
stationery purchase at Coursera,education
NEFT - bank transfer to friend,finance
Local Home Store - new bedsheet purchase from Local Home Store,home
College Fee - python course bought because needed - Rs 999,education
internet recharge via BSNL,utilities
monthly groceries from Nature's Basket,groceries
upi payment,finance
"Local Kirana - milk, eggs, vegetables got it during sale",groceries
Mi Store - tempered glass screen protector ordered online - Rs 150,electronics
Pizza Hut order,food
new bedsheet purchase from Ikea purchased from nearby store,home
doctor consult,health
BSNL - BSNL electricity bill,utilities
maintenance charges for flat bought because needed,bills
new backpack from Myntra,shopping
Reliance Digital,electronics
Flower Store - birthday gift for friend,gifts
perfume Sephora,personal_care
Shell Fuel - petrol full tank,auto
Gift Shop - birthday gift for friend,gifts
upi payment,finance
breakfast,food
new backpack from Local Mall,shopping
Credit Card Payment - maintenance charges for flat,bills
fruits and veg purchase at Local Kirana paid for - Rs 50,groceries
stationery purchase at Udemy got it during sale - Rs 199,education
flight ticket to delhi - Rs 150,travel
engine oil change at Car Service Center,auto
Credit Card Payment - loan EMI deduction,bills
credit card repayment paid for,bills
concert ticket booking,entertainment
bike service at Shell Fuel got it during sale,auto
car wash and cleaning,auto
ott subscription rental bought for home use,entertainment
Loan EMI - loan EMI deduction,bills
anti ageing serum purchase purchased from nearby store,personal_care
security deposit for rent bought because needed,rent
wallet topup NEFT,finance
home decor items,home
bus ticket to city,travel
Play Store - ott subscription rental - Rs 100,entertainment
"Nature's Basket - milk, eggs, vegetables ordered online",groceries
Big Bazaar,groceries
bonus credited,salary
dinner at Zomato with friends - Rs 100,food
home decor items,home
BSNL - mobile postpaid bill BSNL,utilities
dinner at Zomato with friends ordered online,food
College Fee,education
YouTube Premium monthly subscription,subscription
Myntra online,shopping
IndiGo - bus ticket to city,travel
YouTube Premium - YouTube Premium annual plan,subscription
upi payment - Rs 100,finance
Paytm Wallet - NEFT received,finance
lab test at Practo,health
Stationery Shop - python course ordered online,education
dinner at McDonald's with friends,food
college fee payment,education
pharmacy - Rs 199,health
wallet topup NEFT,finance
mobile postpaid bill Water Supply,utilities
stationery purchase at Stationery Shop,education
bike service at Bikeman Garage purchased from nearby store,auto
lab test at Healthcare Clinic bought because needed,health
bread,groceries
exam form fee,education
ordered power bank from Samsung Shop got it during sale,electronics
concert ticket booking ordered online,entertainment
car wash and cleaning,auto
water bill payment,utilities
salary credited - ACME Corp,salary
Nykaa,personal_care
Jio electricity bill,utilities
Local Dhabha order,food
Dominos - dinner at Dominos with friends,food
ordered power bank from Mi Store,electronics
Local Home Store - kitchen utensils from Local Home Store,home
home decor items,home
Electricity Board - water bill payment - Rs 249,utilities
NEFT received,finance
pharmacy,health
City Hospital,health
fruits and veg purchase at Nature's Basket bought because needed,groceries
anti ageing serum purchase ordered online,personal_care
late fee payment - Rs 100,bills
salary credited - ACME Corp,salary
Flower Store - gift box chocolates,gifts
Maintenance - loan EMI deduction,bills
Steam movie ticket purchased from nearby store,entertainment
NEFT received,finance
Flipkart - tempered glass screen protector,electronics
breakfast,food
internet recharge via Water Supply bought because needed,utilities
McDonald's order - burger and fries got it during sale,food
bought T - Rs 199,shopping
Mi Store,electronics
perfume Nykaa,personal_care
ordered power bank from Amazon,electronics
bread,groceries
Zara online - summer dress,shopping
Shell Fuel - petrol full tank,auto
face wash and moisturizer from Nykaa ordered online - Rs 1200,personal_care
concert ticket booking,entertainment
upi payment,finance
mobile postpaid bill Jio bought because needed,utilities
Netflix monthly subscription,subscription
ott subscription rental - Rs 199,entertainment
Myntra - sneakers purchase got it during sale,shopping
concert ticket booking purchased from nearby store,entertainment
Croma purchase - bluetooth headphone bought because needed,electronics
Netflix annual plan purchased from nearby store - Rs 1200,subscription
perfume Sephora,personal_care
car wash and cleaning - Rs 1200,auto
security deposit for rent - Rs 499,rent
bus ticket to city paid for,travel
exam form fee,education
pharmacy - antibiotics,health
security deposit for rent,rent
recharge jio - breakfast - paratha and chai,food
bike service at Bikeman Garage,auto
recharge jio - late night snack from Cafe Coffee Day got it during sale,food
maintenance charges for flat got it during sale - Rs 299,bills
late night snack from KFC,food
renewed subscription,subscription
Spotify - Spotify annual plan,subscription
H&M online,shopping
late night snack from Pizza Hut got it during sale,food
membership renewal Spotify got it during sale,subscription
train booking via IRCTC,travel
IndiGo - flight ticket to delhi,travel
Cafe Coffee Day order - burger and fries bought because needed,food
mobile postpaid bill Water Supply,utilities
concert ticket booking,entertainment
ordered power bank from Croma,electronics
"Grofers - milk, eggs, vegetables bought because needed",groceries
netflix monthly subscriptn,subscription
H&M online,shopping
refund from amazon - IndiGo - train booking via IRCTC,travel
Electricity Board electricity bill,utilities
Local Pharmacy - anti ageing serum purchase,personal_care
dinner at Swiggy with friends,food
Loan EMI - credit card repayment,bills
Local Home Store - new bedsheet purchase from Local Home Store,home
bank transfer to friend,finance
train booking via IRCTC bought for home use - Rs 299,travel
freelance payment client xyz,salary
loan EMI deduction,bills
home decor items,home
wallet topup NEFT,finance
TataCliq - USB-C cable,electronics
train booking via IRCTC,travel
loan EMI deduction,bills
recharge jio - Reliance Fresh - fruits and veg purchase at Reliance Fresh,groceries
internet recharge via Water Supply,utilities
ordered power bank from Samsung Shop paid for,electronics
engine oil change at HP Petrolpump,auto
kitchen utensils from Home Centre,home
bike service at Car Service Center purchased from nearby store - Rs 249,auto
water bill payment,utilities
new bedsheet purchase from Ikea,home
TataCliq - tempered glass screen protector bought for home use,electronics
car wash and cleaning bought for home use,auto
late fee payment bought for home use,bills
Jio electricity bill,utilities
PVR - game purchase on PVR,entertainment
flight ticket to delhi,travel
apartment rent monthly ordered online,rent
renewed subscription,subscription
face wash and moisturizer from Sephora bought for home use,personal_care
Beauty Store - Rs 50,personal_care
Dominos order - burger and fries ordered online,food
college fee payment bought for home use,education
bought T-shirt from Local Mall,shopping
monthly groceries from Reliance Fresh,groceries
home decor items purchased from nearby store,home
Zara online,shopping
Spotify monthly subscription,subscription
flight ticket to delhi paid for,travel
bus ticket to city,travel
Nykaa - sunscreen spf 50 got it during sale,personal_care
gave tip to bhaiya - monthly groceries from Local Kirana,groceries
bonus credited,salary
Swiggy - pizza for dinner purchased from nearby store - Rs 150,food
water bill payment,utilities
Netflix monthly subscription,subscription
flight ticket to delhi,travel
ott subscription rental got it during sale,entertainment
HP Petrolpump - petrol full tank,auto
water bill payment - Rs 299,utilities
Ajio - sneakers purchase,shopping
membership renewal Amazon Prime bought for home use - Rs 100,subscription
bike srvice at shell fuel,auto
credit card repayment,bills
Car Service Center - petrol full tank bought because needed,auto
TataCliq purchase - bluetooth headphone ordered online - Rs 499,electronics
mobile postpaid bill Electricity Board,utilities
Stationery Shop - python course - Rs 150,education
home decor items bought for home use - Rs 100,home
Home Centre - new bedsheet purchase from Home Centre,home
Beauty Store,personal_care
Dominos order,food
mumma grocery - Reliance Digital purchase - bluetooth headphone,electronics
Gift Shop - bought flowers from Gift Shop,gifts
new bedsheet purchase from Ikea,home
late fee payment,bills
doctor consult - fever bought for home use,health
face wash and moisturizer from Local Pharmacy,personal_care
bus ticket to city,travel
Cafe Coffee Day order - burger and fries bought because needed,food
Loan EMI - late fee payment,bills
bread,groceries
fruits and veg purchase at Big Bazaar,groceries
Cleartrip - flight ticket to delhi,travel
car wash and cleaning,auto
"bread, butter, cereal from Grofers bought because needed",groceries
bonus credited,salary
Zomato,food
dinner at Dominos with friends ordered online,food
Amazon - tempered glass screen protector,electronics
rent payment to landlord,rent
new backpack from Myntra,shopping
anniversary gift shopping bought because needed,gifts
stationery purchase at College Fee,education
new backpack from Zara,shopping
refund from amazon - IndiGo ride to airport purchased from nearby store,travel
stationery purchase at College Fee,education
Healthcare Clinic,health
face wash and moisturizer from Beauty Store ordered online,personal_care
pharmacy,health
Dominos order - burger and fries,food
new backpack from Zara,shopping
bought flowers from Flower Store,gifts
Spotify annual plan,subscription
gift box chocolates got it during sale,gifts
H&M - new backpack from H&M - Rs 1200,shopping
Cleartrip ride to airport,travel
gift box chocolates,gifts
TataCliq,electronics
maintenance charges for flat,bills
H&M - sneakers purchase,shopping
"Reliance Fresh - milk, eggs, vegetables",groceries
engine oil change at HP Petrolpump,auto
bus ticket to city purchased from nearby store,travel
college fee payment purchased from nearby store,education
car wash and cleaning,auto
internet recharge via Jio,utilities
Maintenance - credit card repayment,bills
Water Supply electricity bill,utilities
Reliance Digital,electronics
Local Mall,shopping
"Grofers - milk, eggs, vegetables bought for home use",groceries
Shell Fuel,auto
bike service at Shell Fuel,auto
bought flowers from Godrej Gift - Rs 249,gifts
train booking via IRCTC,travel
Maintenance - credit card repayment,bills
game purchase on Play Store,entertainment
Zara online - summer dress,shopping
maintenance charges for flat,bills
concert ticket booking,entertainment
Samsung Shop purchase - bluetooth headphone got it during sale,electronics
perfume Beauty Store ordered online,personal_care
invoice paid - Upwork,salary
Uber - train booking via IRCTC,travel
anniversary gift shopping,gifts
exam form fee,education
bus ticket to city,travel
flight ticket to delhi - Rs 150,travel
game purchase on PVR,entertainment
credit card repayment,bills
stationery purchase at Stationery Shop,education
freelance payment client xyz,salary
Spotify - Spotify monthly subscription,subscription
perfume Nykaa - Rs 999,personal_care
pharmacy,health
"Nature's Basket - milk, eggs, vegetables got it during sale",groceries
renewed subscription - Spotify,subscription
loan EMI deduction got it during sale,bills
anniversary gift shopping bought because needed,gifts
membership renewal Spotify paid for,subscription
Ikea - floor cleaner and mop paid for,home
face wash and moisturizer from Local Pharmacy,personal_care
exam form fee,education
PVR - ott subscription rental,entertainment
fruits and veg purchase at Local Kirana paid for,groceries
credit card repayment,bills
PhonePe - upi payment,finance
Netflix annual plan,subscription
BookMyShow movie ticket,entertainment
bought T,shopping
paid bhaiya for delivery - monthly groceries from Big Bazaar,groceries
Amazon Prime monthly subscription ordered online,subscription
credit card repayment bought for home use,bills
bought T-shirt from Local Mall ordered online,shopping
Home Centre - Rs 999,home
Netflix monthly subscription got it during sale - Rs 199,subscription
breakfast - paratha and chai bought because needed - Rs 999,food
PhonePe - wallet topup PhonePe,finance
freelance payment client xyz ordered online,salary
KFC order - burger and fries,food
Shell Fuel - petrol full tank bought because needed,auto
car wash and cleaning,auto
Play Store movie ticket,entertainment
bhai petrol bharwaya - birthday gift for friend purchased from nearby store,gifts
Swiggy order - burger and fries purchased from nearby store,food
loan EMI deduction,bills
Ikea - floor cleaner and mop - Rs 299,home
emi deducted - birthday gift for friend got it during sale,gifts
Food Stall,food
Coursera - python course,education
lab test at Healthcare Clinic,health
Sephora - sunscreen spf 50 purchased from nearby store,personal_care
maintenance charges for flat,bills
Healthcare Clinic,health
Local Home Store - kitchen utensils from Local Home Store,home
Croma - tempered glass screen protector,electronics
rent payment to landlord,rent
anti ageing serum purchase,personal_care
membership renewal Spotify ordered online,subscription
Jio - Jio electricity bill,utilities
Electricity Board electricity bill,utilities
renewed subscription,subscription
Nykaa - anti ageing serum purchase,personal_care
mumma grocery - Lifestyle,shopping
Electricity Board - Electricity Board electricity bill,utilities
pharmacy - antibiotics,health
Steam - concert ticket booking,entertainment
ordered power bank from TataCliq,electronics
college canteen maggi - new bedsheet purchase from Ikea,home
kitchen utensils from Local Home Store - Rs 299,home
exam form fee,education
exam form fee - Rs 150,education
pharmacy - antibiotics - Rs 1200,health
kitchen utensils from Ikea,home
gave tip to bhaiya - maintenance charges for flat,bills
late fee payment,bills
Croma - Rs 1200,electronics
face wash and moisturizer from Sephora,personal_care
ott subscription rental,entertainment
Netflix monthly subscription purchased from nearby store,subscription
freelance payment client xyz got it during sale,salary
Apollo Pharmacy,health
Coursera - Rs 199,education
mumma grocery - Local Mall - sneakers purchase,shopping
fruits and veg purchase at Spencer's ordered online,groceries
DMart,groceries
gift box chocolates,gifts
ott subscription rental bought because needed,entertainment
Car Service Center - petrol full tank,auto
invoice paid,salary
Beauty Store,personal_care
salary credited - Rs 50,salary
TataCliq - ordered power bank from TataCliq,electronics
Local Pharmacy,personal_care
Play Store - concert ticket booking,entertainment
netflix monthly subscrption ordered online,subscription
membership renewal Spotify,subscription
Netflix - membership renewal Netflix,subscription
paid bhaiya for delivery - Zomato order,food
invoice paid - Upwork ordered online,salary
mobile postpaid bill BSNL bought for home use,utilities
Samsung Shop - USB-C cable got it during sale - Rs 50,electronics
train booking via IRCTC,travel
late night snack from Dominos,food
train booking via IRCTC,travel
lab test at City Hospital ordered online,health
ott subscription rental,entertainment
Shell Fuel - petrol full tank ordered online,auto
Local Kirana - fruits and veg purchase at Local Kirana,groceries
Local Mall,shopping
maintenance charges for flat ordered online,bills
Jio electricity bill,utilities
Ikea - new bedsheet purchase from Ikea,home
ordered power bank from TataCliq,electronics
Local Mall,shopping
Nykaa - sunscreen spf 50 - Rs 100,personal_care
upi payment,finance
Amazon purchase,electronics
membership renewal Amazon Prime purchased from nearby store,subscription
Godrej Gift - anniversary gift shopping,gifts
engine oil change at HP Petrolpump,auto
fruits and veg purchase at Local Kirana bought because needed - Rs 1200,groceries
credit card repayment,bills
Lifestyle - sneakers purchase,shopping
"Nature's Basket - milk, eggs, vegetables",groceries
ott subscription rental ordered online,entertainment
Netflix annual plan,subscription
anniversary gift shopping paid for,gifts
bike service at Bikeman Garage bought for home use,auto
bike service at Bikeman Garage got it during sale,auto
Big Bazaar - Rs 249,groceries
Nykaa - perfume Nykaa,personal_care
Electricity Board - mobile postpaid bill Electricity Board,utilities
H&M - sneakers purchase,shopping
bread,groceries
MedPlus - lab test at MedPlus,health
